Date,Town,ProjectName,Story,PropertyType,Model,Tenure,AreaSQM,PricePSF,Price
28-Jun-19,Ang Mo Kio,Blk 303 Ang Mo Kio Avenue 1,XX to XX,4-Room,New Generation,99 Yrs FROM 1977,98,3574.00,350000.00
28-Jun-19,Ang Mo Kio,Blk 310B Ang Mo Kio Avenue 1,XX to XX,4-Room,Model A,99 Yrs FROM 2012,87,7363.00,640000.00
28-Jun-19,Ang Mo Kio,Blk 310C Ang Mo Kio Avenue 1,XX to XX,4-Room,Model A,99 Yrs FROM 2012,94,6211.00,583000.00
28-Jun-19,Ang Mo Kio,Blk 411 Ang Mo Kio Avenue 10,XX to XX,4-Room,New Generation,99 Yrs FROM 1979,92,4112.00,378000.00
28-Jun-19,Ang Mo Kio,Blk 417 Ang Mo Kio Avenue 10,XX to XX,4-Room,New Generation,99 Yrs FROM 1979,99,4219.00,418000.00
28-Jun-19,Ang Mo Kio,Blk 464 Ang Mo Kio Avenue 10,XX to XX,4-Room,New Generation,99 Yrs FROM 1980,92,4187.00,385000.00
28-Jun-19,Ang Mo Kio,Blk 102 Ang Mo Kio Avenue 3,XX to XX,4-Room,Model A,99 Yrs FROM 1993,106,3875.00,410000.00
28-Jun-19,Ang Mo Kio,Blk 229 Ang Mo Kio Avenue 3,XX to XX,4-Room,New Generation,99 Yrs FROM 1978,91,4176.00,380000.00
28-Jun-19,Ang Mo Kio,Blk 426 Ang Mo Kio Avenue 3,XX to XX,4-Room,New Generation,99 Yrs FROM 1978,92,4672.00,430000.00
28-Jun-19,Ang Mo Kio,Blk 427 Ang Mo Kio Avenue 3,XX to XX,4-Room,New Generation,99 Yrs FROM 1978,92,4564.00,420000.00
28-Jun-19,Ang Mo Kio,Blk 571 Ang Mo Kio Avenue 3,XX to XX,4-Room,New Generation,99 Yrs FROM 1979,92,4510.00,415000.00
28-Jun-19,Ang Mo Kio,Blk 573 Ang Mo Kio Avenue 3,XX to XX,4-Room,New Generation,99 Yrs FROM 1979,92,3315.00,305000.00
28-Jun-19,Ang Mo Kio,Blk 110 Ang Mo Kio Avenue 4,XX to XX,4-Room,New Generation,99 Yrs FROM 1978,92,4510.00,415000.00
28-Jun-19,Ang Mo Kio,Blk 175 Ang Mo Kio Avenue 4,XX to XX,4-Room,New Generation,99 Yrs FROM 1981,91,4123.00,375000.00
28-Jun-19,Ang Mo Kio,Blk 637 Ang Mo Kio Avenue 6,XX to XX,4-Room,New Generation,99 Yrs FROM 1980,92,4456.00,410000.00
28-Jun-19,Ang Mo Kio,Blk 700B Ang Mo Kio Avenue 6,XX to XX,4-Room,Model A,99 Yrs FROM 2003,90,6448.00,580000.00
28-Jun-19,Ang Mo Kio,Blk 596D Ang Mo Kio Street 52,XX to XX,4-Room,Model A,99 Yrs FROM 2003,85,6297.00,535000.00
1-May-19,Ang Mo Kio,Blk 215 Ang Mo Kio Avenue 1,XX to XX,4-Room,New Generation,99 Yrs FROM 1976,88,4316.00,380000.00
1-May-19,Ang Mo Kio,Blk 304 Ang Mo Kio Avenue 1,XX to XX,4-Room,New Generation,99 Yrs FROM 1977,97,4435.00,430000.00
1-May-19,Ang Mo Kio,Blk 307A Ang Mo Kio Avenue 1,XX to XX,4-Room,Model A,99 Yrs FROM 2012,88,7223.00,635000.00
1-May-19,Ang Mo Kio,Blk 307B Ang Mo Kio Avenue 1,XX to XX,4-Room,Model A,99 Yrs FROM 2012,95,7040.00,668888.00
1-May-19,Ang Mo Kio,Blk 307B Ang Mo Kio Avenue 1,XX to XX,4-Room,Model A,99 Yrs FROM 2012,88,7653.00,673000.00
1-May-19,Ang Mo Kio,Blk 331 Ang Mo Kio Avenue 1,XX to XX,4-Room,New Generation,99 Yrs FROM 1981,93,4629.00,430000.00
1-May-19,Ang Mo Kio,Blk 470 Ang Mo Kio Avenue 10,XX to XX,4-Room,New Generation,99 Yrs FROM 1979,92,3972.00,365000.00
1-May-19,Ang Mo Kio,Blk 472 Ang Mo Kio Avenue 10,XX to XX,4-Room,New Generation,99 Yrs FROM 1979,92,3810.00,350000.00
1-May-19,Ang Mo Kio,Blk 544 Ang Mo Kio Avenue 10,XX to XX,4-Room,New Generation,99 Yrs FROM 1981,92,3918.00,360000.00
1-May-19,Ang Mo Kio,Blk 546 Ang Mo Kio Avenue 10,XX to XX,4-Room,New Generation,99 Yrs FROM 1981,92,4112.00,378000.00
