Date	Town	ProjectName	Story	PropertyType	Model	Tenure	AreaSQM	PricePSF	Price
28-Jun-19	Ang Mo Kio	Blk 303 Ang Mo Kio Avenue 1	XX to XX	4-Room	New Generation	99 Yrs FROM 1977	98	"3,574"	"350,000"
28-Jun-19	Ang Mo Kio	Blk 310B Ang Mo Kio Avenue 1	XX to XX	4-Room	Model A	99 Yrs FROM 2012	87	"7,363"	"640,000"
28-Jun-19	Ang Mo Kio	Blk 310C Ang Mo Kio Avenue 1	XX to XX	4-Room	Model A	99 Yrs FROM 2012	94	"6,211"	"583,000"
28-Jun-19	Ang Mo Kio	Blk 411 Ang Mo Kio Avenue 10	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"4,112"	"378,000"
28-Jun-19	Ang Mo Kio	Blk 417 Ang Mo Kio Avenue 10	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	99	"4,219"	"418,000"
28-Jun-19	Ang Mo Kio	Blk 464 Ang Mo Kio Avenue 10	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	92	"4,187"	"385,000"
28-Jun-19	Ang Mo Kio	Blk 102 Ang Mo Kio Avenue 3	XX to XX	4-Room	Model A	99 Yrs FROM 1993	106	"3,875"	"410,000"
28-Jun-19	Ang Mo Kio	Blk 229 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	91	"4,176"	"380,000"
28-Jun-19	Ang Mo Kio	Blk 426 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,672"	"430,000"
28-Jun-19	Ang Mo Kio	Blk 427 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,564"	"420,000"
28-Jun-19	Ang Mo Kio	Blk 571 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"4,510"	"415,000"
28-Jun-19	Ang Mo Kio	Blk 573 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"3,315"	"305,000"
28-Jun-19	Ang Mo Kio	Blk 110 Ang Mo Kio Avenue 4	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,510"	"415,000"
28-Jun-19	Ang Mo Kio	Blk 175 Ang Mo Kio Avenue 4	XX to XX	4-Room	New Generation	99 Yrs FROM 1981	91	"4,123"	"375,000"
28-Jun-19	Ang Mo Kio	Blk 637 Ang Mo Kio Avenue 6	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	92	"4,456"	"410,000"
28-Jun-19	Ang Mo Kio	Blk 700B Ang Mo Kio Avenue 6	XX to XX	4-Room	Model A	99 Yrs FROM 2003	90	"6,448"	"580,000"
28-Jun-19	Ang Mo Kio	Blk 596D Ang Mo Kio Street 52	XX to XX	4-Room	Model A	99 Yrs FROM 2003	85	"6,297"	"535,000"
1-May-19	Ang Mo Kio	Blk 215 Ang Mo Kio Avenue 1	XX to XX	4-Room	New Generation	99 Yrs FROM 1976	88	"4,316"	"380,000"
1-May-19	Ang Mo Kio	Blk 304 Ang Mo Kio Avenue 1	XX to XX	4-Room	New Generation	99 Yrs FROM 1977	97	"4,435"	"430,000"
1-May-19	Ang Mo Kio	Blk 307A Ang Mo Kio Avenue 1	XX to XX	4-Room	Model A	99 Yrs FROM 2012	88	"7,223"	"635,000"
1-May-19	Ang Mo Kio	Blk 307B Ang Mo Kio Avenue 1	XX to XX	4-Room	Model A	99 Yrs FROM 2012	95	"7,040"	"668,888"
1-May-19	Ang Mo Kio	Blk 307B Ang Mo Kio Avenue 1	XX to XX	4-Room	Model A	99 Yrs FROM 2012	88	"7,653"	"673,000"
1-May-19	Ang Mo Kio	Blk 331 Ang Mo Kio Avenue 1	XX to XX	4-Room	New Generation	99 Yrs FROM 1981	93	"4,629"	"430,000"
1-May-19	Ang Mo Kio	Blk 470 Ang Mo Kio Avenue 10	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"3,972"	"365,000"
1-May-19	Ang Mo Kio	Blk 472 Ang Mo Kio Avenue 10	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"3,810"	"350,000"
1-May-19	Ang Mo Kio	Blk 544 Ang Mo Kio Avenue 10	XX to XX	4-Room	New Generation	99 Yrs FROM 1981	92	"3,918"	"360,000"
1-May-19	Ang Mo Kio	Blk 546 Ang Mo Kio Avenue 10	XX to XX	4-Room	New Generation	99 Yrs FROM 1981	92	"4,112"	"378,000"
1-May-19	Ang Mo Kio	Blk 325 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	98	"5,005"	"490,000"
1-May-19	Ang Mo Kio	Blk 326 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1977	92	"5,113"	"470,000"
1-May-19	Ang Mo Kio	Blk 327 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1977	98	"4,898"	"480,000"
1-May-19	Ang Mo Kio	Blk 348 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	98	"4,898"	"480,000"
1-May-19	Ang Mo Kio	Blk 427 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,187"	"385,000"
1-May-19	Ang Mo Kio	Blk 429 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,672"	"430,000"
1-May-19	Ang Mo Kio	Blk 562 Ang Mo Kio Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	92	"4,133"	"380,000"
1-May-19	Ang Mo Kio	Blk 173 Ang Mo Kio Avenue 4	XX to XX	4-Room	New Generation	99 Yrs FROM 1982	92	"4,026"	"370,000"
1-May-19	Ang Mo Kio	Blk 175 Ang Mo Kio Avenue 4	XX to XX	4-Room	New Generation	99 Yrs FROM 1981	91	"4,198"	"382,000"
1-May-19	Ang Mo Kio	Blk 610 Ang Mo Kio Avenue 4	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	101	"3,907"	"395,000"
1-May-19	Ang Mo Kio	Blk 619 Ang Mo Kio Avenue 4	XX to XX	4-Room	Model A	99 Yrs FROM 1996	107	"4,489"	"480,000"
